Seorang	NND
Jordan	NNP
.	Z
Raja	NNP
Jordania	NNP
Abdullah	NNP
II	NNP
,	Z
Senin	NNP
,	Z
mendesak	VB
Israel	NNP
agar	SC
menerima	VB
baik	JJ
gagasan	NN
perdamaian	NN
Arab	NNP
dan	CC
meninggalkan	VB
wilayah	NN
yang	SC
diduduki	VB
-nya	PRP
dalam	IN
perang	NN
1967	CD
,	Z
jika	SC
Tel	NNP
Aviv	NNP
ingin	RB
hidup	NN
secara	IN
damai	JJ
dengan	SC
negara	NN
Arab	NNP
.	Z
Dalam	IN
suatu	CD
wawancara	NN
dengan	IN
stasiun televisi	NN
yang	SC
berpusat	VB
di	IN
Dubai	NNP
,	Z
Uni	NNP
Emirat	NNP
Arab	NNP
,	Z
Al-Arabiya	NNP
,	Z
Raja	NNP
Jordania	NNP
itu	PR
juga	RB
menyarankan	VB
sikap	NN
bersatu	VB
Palestina	NNP
dengan	SC
dasar	NN
penghormatan	NN
atas	IN
semua	CD
kesepakatan	NN
yang	SC
dicapai	VB
dengan	SC
Israel	NNP
sebagai	IN
prasyarat	NN
bagi	IN
perdamaian	NN
yang	SC
langgeng	JJ
di	IN
Timur	NNP
Tengah	NNP
.	Z
Kami	PRP
mesti	MD
mengirim	VB
pesan	NN
kepada	IN
Israel	NNP
bahwa	SC
negara	NN
itu	PR
memikul	VB
tanggung jawab	NN
besar	JJ
ke	IN
arah	NN
perdamaian	NN
di	IN
wilayah	NN
ini	PR
,	Z
kata	VB
Raja	NNP
Abdullah	NNP
.	Z
Jika	SC
Israel	NNP
memiliki	VB
keinginan	NN
tulus	JJ
untuk	IN
hidup	NN
dalam	IN
kedamaian	NN
,	Z
negara	NN
itu	PR
mesti	MD
mencari	VB
perdamaian	NN
seperti	IN
itu	PR
,	Z
menerima	VB
baik	JJ
gagasan	NN
perdamaian	NN
Arab	NNP
,	Z
mengakhiri	VB
pendudukan	NN
,	Z
mengakui	VB
prinsip	NN
dua	CD
negara	NN
dan	CC
menerapkan	VB
ini	PR
di	IN
lapangan	NN
sesuai	JJ
dengan	SC
resolusi	NN
sah	JJ
internasional	JJ
dan	CC
kesepakatan	NN
yang	SC
dicapai	VB
dengan	SC
Palestina	NNP
,	Z
kata	VB
-nya	PRP
.	Z
Gagasan	NN
perdamaian	NN
Arab	NNP
,	Z
yang	SC
pertama	OD
kali	NND
disahkan	VB
oleh	IN
pertemuan	NN
tingkat	NN
tinggi	JJ
Arab	NNP
di	IN
Beirut	NNP
,	Z
Lebanon	NNP
,	Z
pada	IN
2002	CD
,	Z
menetapkan	VB
pengakuan	NN
atas	IN
negara	NN
Yahudi	NNP
oleh	IN
semua	CD
negara	NN
Arab	NNP
,	Z
jika	SC
Israel	NNP
meninggalkan	VB
semua	CD
tanah	NN
Arab	NNP
yang	SC
diduduki	VB
-nya	PRP
dalam	IN
perang	NN
1967	CD
,	Z
termasuk	VB
Jerusalem	NNP
Timur	NNP
.	Z
Konferensi	NNP
tingkat	NNP
tinggi	NNP
Arab	NNP
,	Z
yang	SC
dijadwalkan	VB
diselenggarakan	VB
Rabu	NNP
dan	CC
Kamis	NNP
di	IN
Riyadh	NNP
,	Z
Arab	NNP
Saudi	NNP
,	Z
diperkirakan	VB
akan	MD
meluncurkan	VB
kembali	VB
rancangan	NN
dasar	NN
itu	PR
dengan	SC
mengajukan	VB
-nya	PRP
kembali	VB
kepada	IN
ibu kota	NN
negara	NN
berpengaruh	VB
di	IN
dunia	NN
.	Z
Raja	NNP
Jordania	NNP
tersebut	PR
menambahkan	VB
,	Z
Apa	WH
yang	SC
diperlukan	VB
dari	IN
pihak	NN
Palestina	NNP
ialah	VB
pendirian	NN
bersatu	VB
mengenai	IN
komitmen	NN
bagi	IN
semua	CD
kesepakatan	NN
yang	SC
telah	MD
mereka	PRP
capai	VB
dengan	SC
pihak	NN
Israel	NNP
.	Z
Sementara	SC
itu	PR
,	Z
Presiden	NNP
Palestina	NNP
Mahmoud	NNP
Abbas	NNP
,	Z
Senin	NNP
,	Z
meminta	VB
Menteri	NNP
Luar	NNP
Negeri	NNP
AS	NNP
Condoleezza	NNP
Rice	NNP
untuk	SC
menekan	VB
Israel	NNP
agar	SC
menghidupkan	VB
kembali	VB
pembicaraan	NN
perdamaian	NN
,	Z
kata	VB
seorang	NND
pembantu	NN
senior	JJ
Presiden	NNP
Palestina	NNP
itu	PR
.	Z
Presiden	NNP
Sudan	NNP
Omar	NNP
al-Beshir	NNP
dijadwalkan	VB
akan	MD
bertemu	VB
dengan	IN
Sekjen	NNP
PBB	NNP
Ban	NNP
Ki	NNP
-	NNP
Moon	NNP
di	IN
Riyad	NNP
Selasa	NNP
,	Z
untuk	SC
membahas	VB
konflik	NN
Darfur	NNP
sebagai	IN
kelanjutan	NN
Khartoum	NNP
menentang	VB
permintaan	NN
yang	SC
mengizinkan	VB
pasukan	NN
pemelihara	NN
perdamaian	NN
PBB	NNP
ke	IN
wilayah	NN
yang	SC
dilanda	VB
perang	NN
itu	PR
.	Z
Beshir	NNP
secara	IN
konsisten	JJ
menolak	VB
rencana	NN
PBB	NNP
untuk	SC
mengirimkan	VB
pasukan	NN
pemelihara	NN
perdamaian	NN
-nya	PRP
di	IN
Darfur	NNP
dan	CC
menolak	VB
mengirimkan	VB
para	DT
tertuduh	VB
penjahat perang	NN
ke	IN
Mahkamah	NNP
Kriminal	NNP
Internasional	NNP
.	Z
Seorang	NND
pejabat	NN
Liga	NNP
Arab	NNP
mengatakan	VB
Senin	NNP
,	Z
bahwa	SC
pembicaraan	NN
Riyad	NNP
akan	MD
juga	RB
dihadiri	VB
oleh	IN
Raja	NNP
Abdullah	NNP
dari	IN
Arab	NNP
Saudi	NNP
,	Z
Ketua	NNP
Liga	NNP
Arab	NNP
Amir	NNP
Mussa	NNP
dan	CC
ketua	NN
eksekutif	NN
Uni	NNP
Afrika	NNP
,	Z
Alpha	NNP
Oumar	NNP
Konare	NNP
.	Z
Menurut	IN
PBB	NNP
,	Z
sedikit	CD
-nya	PRP
200.000	CD
orang	NN
telah	MD
tewas	VB
dan	CC
lebih	RB
dari	IN
dua	CD
juta	CD
lain	JJ
-nya	PRP
telantar	VB
sejak	IN
konflik	NN
antara	IN
pemberontak	NN
dan	CC
pasukan	NN
pemerintah	NN
meletus	VB
di	IN
Darfur	NNP
Februari	NNP
2003	CD
.	Z
Beberapa	CD
sumber	NN
mengatakan	VB
,	Z
jumlah	NN
kematian	NN
semakin	RB
meningkat	VB
.	Z
Perundingan-perundingan	NN
Selasa	NNP
terjadi	VB
sebelum	SC
pertemuan	NN
puncak	NN
tahunan	NN
para	DT
pemimpin	NN
Arab	NNP
di	IN
ibu kota	NN
Saudi	NNP
,	Z
yang	SC
juga	RB
dihadiri	VB
Ban	NNP
.	Z
Senin	NNP
,	Z
Beshir	NNP
kembali	VB
menolak	VB
menemui	VB
Ahmed	NNP
Haroun	NNP
,	Z
sekretaris negara	NN
untuk	IN
urusan	NN
kemanusiaan	NN
yang	SC
dicurigai	VB
oleh	IN
Pengadilan	NNP
Kejahatan	NNP
Internasional	NNP
(	Z
ICC	NNP
)	Z
sebagai	IN
penjahat perang	NN
Darfur	NNP
.	Z
Haroun	NNP
tidak	NEG
akan	MD
mengundurkan	VB
diri	NN
atau	CC
ditembak	VB
dan	CC
tidak	NEG
akan	MD
diperiksa	VB
,	Z
kata	VB
Beshir	NNP
kepada	IN
harian	NNP
Al-Sudani	NNP
.	Z
Menteri	NNP
Luar	NNP
Negeri	NNP
Lam	NNP
Akol	NNP
menguatkan	VB
komentar	NN
Beshir	NNP
di	IN
Riyadh	NNP
Senin	NNP
,	Z
dengan	IN
mengatakan	VB
,	Z
bahwa	SC
ICC	NNP
tidak	NEG
punya	VB
hak	NN
untuk	SC
mencomot	VB
warga	NN
Sudan	NNP
ke	IN
pengadilan	NN
.	Z
Pernyataan	NN
Beshir	NNP
terjadi	VB
setelah	SC
jaksa agung	NN
Sudan	NNP
pekan	NN
lalu	CC
mengumumkan	VB
bahwa	SC
Haroun	NNP
akan	MD
diperiksa	VB
sebagai	IN
penjahat perang	NN
di	IN
wilayah	NN
Sudan	NNP
barat	NNP
,	Z
meskipun	SC
masalah	NN
sudah	MD
dijelaskan	VB
sebagai	IN
satu	CD
kekeliruan	NN
dari	IN
pengadilan	NN
negara	NN
.	Z
Pada	IN
Februari	NNP
lalu	CC
,	Z
jaksa	NN
ICC	NNP
Luis	NNP
-	NNP
Moreno	NNP
Ocampo	NNP
menuduh	VB
Haroun	NNP
dan	CC
pemimpin	NN
milisi	NN
lokal	JJ
telah	MD
melakukan	VB
51	CD
kejahatan	NN
melanggar	VB
kemanusiaan	NN
dan	CC
kejahatan	NN
perang	NN
,	Z
termasuk	VB
pembunuhan	NN
,	Z
penyiksaan	NN
dan	CC
pemerkosaan	NN
massal	JJ
.	Z
Presiden	NN
pertama	OD
Rwanda	NNP
pasca	X
genosida	NN
Pasteur	NNP
Bizimingu	NNP
dibebaskan	VB
dari	IN
penjara	NN
,	Z
Jumat	NNP
,	Z
setelah	SC
mendapat	VB
pengampunan	NN
presiden	NN
atas	IN
hukuman	NN
15	CD
tahun	NN
yang	SC
diterima	VB
-nya	PRP
karena	SC
tuduhan-tuduhan	NN
yang	SC
mencakup	VB
mengobarkan	VB
kekerasan	NN
etnik	JJ
.	Z
Bizimingu	NNP
dijebloskan	VB
ke	IN
dalam	NN
penjara	NN
pada	IN
2004	CD
setelah	SC
persidangan	NN
yang	SC
kata	VB
para	DT
pengecam	NN
bermotif	VB
politis	JJ
.	Z
Ia	PRP
didakwa	VB
menciptakan	VB
sebuah	NND
milisi	NN
,	Z
menggelapkan	VB
dana	NN
negara	NN
dan	CC
mengobarkan	VB
kekerasan	NN
etnik	JJ
di	IN
sebuah	NND
negara	NN
yang	SC
masih	MD
berusaha	VB
memulihkan	VB
diri	NN
dari	IN
genosida	NN
atau	CC
pemusnahan	NN
sebuah	NND
golongan bangsa	NN
.	Z
Bizimingu	NNP
,	Z
seorang	NND
etnik	JJ
Hutu	NNP
,	Z
menjadi	VB
presiden	NN
ketika	SC
Front	NNP
Patriotik	NNP
Rwanda	NNP
(	Z
RPF	NNP
)	Z
yang	SC
didominasi	VB
orang	NN
Tutsi	NNP
berkuasa	VB
setelah	SC
masa	NN
genosida	NN
di mana	SC
kelompok	NN
ekstrem	JJ
dari	IN
masyarakat	NN
mayoritas	CD
Hutu	NNP
membunuh	VB
800.000	CD
orang	NN
Tutsi	NNP
dan	CC
Hutu	NNP
moderat	JJ
.	Z
Presiden	NNP
Paul	NNP
Kagame	NNP
,	Z
pemimpin	NN
Tentara	NNP
Patriotik	NNP
Rwanda	NNP
yang	SC
didominasi	VB
orang	NN
Tutsi	NNP
yang	SC
mengakhiri	VB
hari-hari	NN
pembantaian	NN
itu	PR
,	Z
saat	NN
itu	PR
menjadi	VB
wakil	NN
presiden	NN
dan	CC
membayang-bayangi	VB
Bizimingu	NNP
karena	SC
kenyataan	NN
-nya	PRP
ia	PRP
memiliki	VB
kekuasaan	NN
lebih	RB
besar	JJ
ketimbang	IN
presiden	NN
tersebut	PR
.	Z
Kerja	NN
sama	JJ
antara	IN
Bizimingu	NNP
,	Z
seorang	NND
Hutu	NNP
yang	SC
berbicara	VB
bahasa	NNP
Perancis	NNP
,	Z
dan	CC
Kagame	NNP
,	Z
seorang	NND
Tutsi	NNP
yang	SC
berbicara	VB
bahasa	NNP
Inggris	NNP
,	Z
dimaksudkan	VB
untuk	SC
melambangkan	VB
rekonsiliasi	NN
pasca	X
genosida	NN
.	Z
Namun	CC
,	Z
kerja sama	NN
mereka	PRP
memburuk	VB
dan	CC
pada	IN
Maret	NNP
2000	CD
,	Z
Bizimingu	NNP
mengundurkan	VB
diri	NN
setelah	SC
berselisih	VB
dengan	IN
anggota-anggota	NN
senior	JJ
RPF	NNP
mengenai	IN
pembentukan	NN
kabinet	NN
baru	JJ
.	Z
Bizimingu	NNP
pada	IN
2006	CD
kalah	VB
dalam	IN
pengajuan	NN
banding	NN
bagi	IN
pembatalan	NN
dakwaan	NN
terhadap	IN
diri	NN
-nya	PRP
,	Z
dengan	SC
mengklaim	VB
bahwa	SC
pengadilan	NN
itu	PR
bermotif	VB
politis	JJ
.	Z
Ia	PRP
kemudian	CC
mengirimi	VB
Kagame	NNP
sepucuk	NN
surat	NN
yang	SC
meminta	VB
belas kasih	NN
dan	CC
pembebasan	NN
-nya	PRP
yang	SC
menurut	IN
-nya	PRP
demi	IN
kebaikan	NN
negara	NN
.	Z
Kelompok	NN
pemberontak	NN
Sunni	NNP
telah	MD
mengaku	VB
bertanggung jawab	VB
atas	IN
serangan	NN
bom	NN
mematikan	VB
pada	IN
patroli	NN
Inggris	NNP
pekan	NN
ini	PR
di	IN
Irak	NNP
selatan	NNP
,	Z
menurut	IN
sebuah	NND
pesan	NN
yang	SC
ditayangkan	VB
Sabtu	NNP
di	IN
laman	NN
gerilyawan	NN
itu	PR
.	Z
Militer	NNP
Mujahedee	NNP
atau	CC
Jaish	NNP
al-Mujahedeen	NNP
,	Z
mengatakan	VB
bahwa	SC
mereka	PRP
bertanggung jawab	VB
atas	IN
pemasangan	NN
bahan peledak	NN
yang	SC
mengakibatkan	VB
empat	CD
orang	NND
prajurit	NN
Inggris	NNP
dan	CC
seorang	NND
penerjemah	NN
meninggal	VB
pada	IN
5	CD
Aprol	NNP
lalu	CC
,	Z
kata	VB
institut	NN
yang	SC
berkantor	VB
pusat	NN
di	IN
AS	NNP
,	Z
yang	SC
mengawasi	VB
laman	NN
Islam	NNP
itu	PR
.	Z
Kelompok	NN
itu	PR
melakukan	VB
serangan	NN
pada	IN
pagi	NN
hari	NN
terhadap	IN
patroli	NN
Inggris	NNP
,	Z
memasang	VB
bahan peledak	NN
tidak	NEG
jauh	JJ
dari	IN
kota	NNP
Basra	NNP
di	IN
bagian	NN
selatan	NN
yang	SC
diledakkan	VB
saat	NN
kendaraan	NN
pasukan	NN
Inggris	NNP
mendekat	VB
,	Z
kata	VB
-nya	PRP
.	Z
Ledakan	NN
itu	PR
,	Z
yang	SC
mengakibatkan	VB
kerusakan	NN
dan	CC
kematian	NN
mereka	PRP
yang	SC
ada	VB
di	IN
dalam	NN
kendaraan	NN
,	Z
disusul	VB
dengan	SC
baku tembak	NN
,	Z
yang	SC
mengakibatkan	VB
terlukanya	NN
sejumlah	CD
prajurit	NN
Inggris	NNP
,	Z
kata	VB
-nya	PRP
.	Z
Militer	NN
Inggris	NNP
mengatakan	VB
awal	NN
pekan	NN
ini	PR
bahwa	SC
empat	CD
orang	NND
prajurit	NN
dan	CC
seorang	NND
penerjemah	NN
sipil	JJ
yang	SC
bepergian	VB
dengan	IN
sebuah	NND
kendaraan	NN
terbunuh	VB
di	IN
luar	NN
Basra	NNP
akibat	NN
sebuah	NND
bom	NN
,	Z
baku tembak	NN
,	Z
dan	CC
serangan	NN
granat	NN
.	Z
Jaish	NNP
al-Mujahedeen	NNP
muncul	VB
pertama	OD
kali	NND
pada	IN
Febuari	NNP
2005	CD
ketika	SC
mereka	PRP
mengklaim	VB
penculikan	NN
dua	CD
orang	NND
wartawan	NN
Indonesia	NNP
,	Z
yang	SC
dibebaskan	VB
setelah	SC
satu	CD
pekan	NN
diculik	VB
.	Z
Sejak	IN
saat	NN
itu	PR
mereka	PRP
melakukan	VB
sejumlah	CD
serangan	NN
di	IN
Irak	NNP
,	Z
termasuk	VB
menembak	VB
jatuh	VB
sebuah	NND
helikopter	NN
Blackhawk	NNP
pada	IN
Febuari	NNP
lalu	CC
.	Z
Empat	CD
orang	NND
prajurit	NN
militer	NN
Pakistan	NNP
,	Z
Minggu	NNP
,	Z
terluka	VB
ketika	SC
sebuah	NND
bom	NN
meledak	VB
tidak	NEG
jauh	JJ
dari	IN
kendaraan	NN
mereka	PRP
di	IN
barat laut	NN
Pakistan	NNP
,	Z
kata	VB
para	DT
petugas	NN
.	Z
Bom	NN
yang	SC
dikendalikan	VB
dari	IN
jarak jauh	NN
itu	PR
meledak	VB
di	IN
tepi	NN
jalan	NN
tidak	NEG
jauh	JJ
dari	IN
personel	NN
militer	NN
di	IN
kota	NNP
TAnk	NNP
,	Z
menurut	IN
petugas	NN
polisi	NN
lokal	JJ
Abdullah	NNP
.	Z
Ledakan	NN
itu	PR
melukai	VB
dua	CD
orang	NND
prajurit	NN
militer	NN
dan	CC
merusak	VB
kendaraan	NN
mereka	PRP
,	Z
kata	VB
dia	PRP
.	Z
Dalam	IN
kejadian	NN
kedua	OD
,	Z
sebuah	NND
bom	NN
yang	SC
juga	RB
dikendalikan	VB
dari	IN
jarak jauh	NN
meledak	VB
tidak	NEG
jauh	JJ
dari	IN
kota	NNP
Bannu	NNP
,	Z
ketika	SC
para	DT
prajurit	NN
militer	NN
melakukan	VB
patroli	NN
di	IN
wilayah	NN
itu	PR
,	Z
menurut	IN
petugas	NN
keamanan	NN
.	Z
Dua	CD
orang	NND
prajurit	NN
mengalami	VB
cedera	JJ
.	Z
Bannu	NNP
dan	CC
Tank	NNP
berbatasan	VB
dengan	IN
distrik	NN
suku	NN
Waziristan	NNP
yang	SC
bergolak	VB
di mana	SC
250	CD
orang	NN
,	Z
kebanyakan	CD
pejuang	NN
Uzbek	NNP
dan	CC
Chechan	NNP
,	Z
terbunuh	VB
dalam	IN
tiga	CD
pekan	NN
terakhir	OD
.	Z
Di	IN
Parachinar	NNP
,	Z
wilayah	NN
kesukuan	NN
Pakistan	NNP
yang	SC
lain	JJ
,	Z
konflik	NN
sektarian	JJ
antara	IN
Sunni	NNP
dan	CC
Syiah	NNP
yang	SC
terjadi	VB
sejak	IN
Jumat	NNP
telah	MD
mengakibatkan	VB
40	CD
orang	NN
meninggal	VB
.	Z
Pihak	NN
berwenang	VB
telah	MD
menempatkan	VB
pasukan	NN
dan	CC
memberlakukan	VB
jam malam	NN
di	IN
Parachinar	NNP
untuk	SC
mencoba	VB
mengendalikan	VB
aksi	NN
kekerasan	NN
.	Z
Pakistan	NNP
telah	MD
menempatkan	VB
sekitar	IN
80	CD
ribu	CD
pasukan	NN
di	IN
wilayah	NN
kesukuan	NN
itu	PR
yang	SC
berbatasan	VB
dengan	IN
Afganistan	NNP
untuk	SC
mengecek	VB
pergerakan	NN
Taliban	NNP
dan	CC
Al-Qaeda	NNP
yang	SC
terkait	VB
dengan	IN
pejuang	NN
yang	SC
melancarkan	VB
serangan	NN
pada	IN
pasukan	NN
asing	JJ
di	IN
Afganistan	NNP
.	Z
Pemerintah	NNP
Iran	NNP
sedang	MD
berusaha	VB
mengungkap	VB
apa	WH
yang	SC
telah	MD
terjadi	VB
pada	IN
seorang	NND
warga negara	NN
AS	NNP
yang	SC
dipercaya	VB
oleh	IN
Washington	NNP
hilang	VB
beberapa	CD
pekan	NN
lalu	CC
sewaktu	SC
melakukan	VB
bisnis	NN
pribadi	NN
di	IN
Iran	NNP
,	Z
kata	VB
seorang	NND
pejabat	NN
Iran	NNP
,	Z
Ahad	NNP
.	Z
Amerika	NNP
Serikat	NNP
mengirim	VB
permintaan	NN
penyelidikan	NN
resmi	JJ
mengenai	IN
mantan	JJ
agen	NN
FBI	NNP
yang	SC
hilang	VB
,	Z
Robert	NNP
Levinson	NNP
,	Z
kepada	IN
Iran	NNP
awal	NN
bulan	NN
ini	PR
melalui	VB
diplomat	NN
Swiss	NNP
,	Z
yang	SC
bertindak	VB
sebagai	IN
perantara	NN
dengan	SC
Teheran	NNP
karena	SC
kedua	CD
negara	NN
tersebut	PR
tak	NEG
memiliki	VB
hubungan diplomatik	NN
.	Z
Organisasi	NN
terkait	VB
sedang	MD
menyelidiki	X
kasus	NN
tersebut	PR
untuk	SC
memperoleh	VB
keterangan	NN
jelas	JJ
mengenai	IN
nasib	NN
-nya	PRP
,	Z
kata	VB
juru bicara	NNP
Kementerian	NNP
Luar	NNP
Negeri	NNP
Iran	NNP
Mohammad	NNP
Ali	NNP
Hosseini	NNP
pada	IN
taklimat	NN
mingguan	NN
.	Z
Hossein	NNP
Zolfaqari	NNP
,	Z
Wakil	NNP
Ketua	NNP
Pasukan	NN
Penerap	NN
Hukum	NN
Republik	NNP
Islam	NNP
,	Z
Sabtu	NNP
,	Z
mengatakan	VB
ia	PRP
tak	NEG
mempunyai	VB
keterangan	NN
mengenai	IN
hilang	VB
-nya	PRP
warga negara	NN
Amerika	NNP
,	Z
demikian	PR
laporan	NN
kantor berita	NN
resmi	JJ
Iran	NNP
,	Z
IRNA	NNP
,	Z
yang	SC
dipantau	VB
oleh	IN
BBC	NNP
.	Z
Pria	NN
yang	SC
hilang	VB
itu	PR
,	Z
yang	SC
digambarkan	VB
oleh	IN
beberapa	CD
pejabat	NN
sebagai	IN
setengah baya	JJ
,	Z
diduga	VB
telah	MD
mengunjungi	VB
Kish	NNP
,	Z
pulau	NN
pelancongan	NN
Iran	NNP
dan	CC
daerah	NN
perdagangan	NN
besar	JJ
di	IN
Teluk	NNP
.	Z
Ia	PRP
diduga	VB
bukan	NEG
keturunan	NN
Iran	NNP
dan	CC
istri	NN
-nya	PRP
tinggal	VB
di	IN
Amerika	NNP
Serikat	NNP
.	Z
Seorang	NND
pejabat	NN
setempat	NN
di	IN
Pulau	NNP
Kish	NNP
di	IN
Iran	NNP
selatan	NN
pekan	NN
lalu	CC
mengatakan	VB
bahwa	SC
tak	NEG
ada	VB
bukti	NN
yang	SC
diperoleh	VB
mengenai	IN
masuk	VB
-nya	PRP
warga negara	NN
Amerika	NNP
tersebut	PR
ke	IN
pulau	NN
itu	PR
,	Z
kata	VB
IRNA	NNP
.	Z
Amerika	NNP
Serikat	NNP
telah	MD
menyelidiki	VB
kasus	NN
tersebut	PR
selama	IN
beberapa	CD
pekan	NN
,	Z
dan	CC
berusaha	VB
memastikan	VB
apakah	WH
Levinson	NNP
mungkin	MD
telah	MD
diciduk	VB
oleh	IN
petugas	NN
Iran	NNP
atau	CC
orang	NN
lain	JJ
yang	SC
memiliki	VB
hubungan	NN
dengan	IN
mafia	NN
Rusia	NNP
.	Z
Sejauh	JJ
ini	PR
,	Z
belum	NEG
ada	VB
petunjuk	NN
yang	SC
jelas	JJ
.	Z
Wakil	NNP
Menteri	NNP
Luar	NNP
Negeri	NNP
China	NNP
,	Z
Wu	NNP
Dawei	NNP
,	Z
mengatakan	VB
kepada	IN
pemimpin	NN
Partai	NNP
Komeito	NNP
Baru	NNP
Jepang	NNP
,	Z
Selasa	NNP
,	Z
bahwa	SC
Menlu	NNP
China	NNP
akan	MD
berkunjung	VB
ke	IN
Jepang	NNP
pada	IN
pertengahan	NN
bulan	NN
depan	NN
,	Z
kata	VB
anggota	NN
parlemen	NN
dari	IN
Komeito	NNP
Baru	NNP
,	Z
Yozuke	NNP
Takagi	NNP
,	Z
kepada	IN
wartawan	NN
di	IN
Beijing	NNP
.	Z
Wu	NNP
mengatakan	VB
kepada	IN
pemimpin	NN
Komeito	NNP
Baru	NNP
,	Z
Akihiro	NNP
Ota	NNP
,	Z
bahwa	SC
Menlu	NNP
China	NNP
Li	NNP
Zhaoxing	NNP
juga	RB
akan	MD
melakukan	VB
kunjungan	NN
untuk	SC
meletakkan	VB
landasan	NN
kerja	NN
ke	IN
Jepang	NNP
bagi	IN
salah seorang	CD
pemimpin	NN
tertinggi	JJ
China	NNP
,	Z
kata	VB
Takagi	NNP
.	Z
Kunjungan	NN
mendatang	VB
diperkirakan	VB
akan	MD
dilakukan	VB
oleh	IN
Wakil	NNP
Perdana	NNP
Menteri	NNP
China	NNP
,	Z
Wen	NNP
Jiabao	NNP
,	Z
kemungkinan	NN
pada	IN
musim semi	NN
mendatang	VB
.	Z
Pada	IN
hari	NN
Senin	NNP
,	Z
Presiden	NNP
China	NNP
Hu	NNP
Jintao	NNP
mengatakan	VB
kepada	IN
Ota	NNP
,	Z
bahwa	SC
dia	PRP
berencana	VB
akan	MD
berkunjung	VB
ke	IN
Jepang	NNP
dalam	IN
tahun	NN
ini	PR
,	Z
pada	IN
'	Z
saat	NN
yang	SC
tepat	JJ
bagi	IN
kedua	CD
pihak	NN
.	Z
Namun	CC
secara	IN
luas	JJ
diduga	VB
bahwa	SC
Wen	NNP
akan	MD
melakukan	VB
kunjungan	NN
ke	IN
Jepang	NNP
sebelum	SC
kunjungan	NN
Presiden	NNP
China	NNP
.	Z
Taiwan	NNP
Selasa	NNP
menyatakan	VB
kecemasan	NN
-nya	PRP
atas	IN
peningkatan	NN
pembangunan	NN
militer	NN
China	NNP
,	Z
seraya	SC
mengatakan	VB
bahwa	SC
uji coba	NN
angkasa	NN
baru-baru ini	RB
yang	SC
disusuli	VB
penggelaran	NN
rudal	NN
di	IN
sepanjang	NN
daerah pantai	NN
menunjukkan	VB
ancaman	NN
serius	JJ
bagi	IN
perdamaian	NN
dan	CC
keamanan	NN
di	IN
kawasan	NN
tersebut	PR
.	Z
China	NNP
meluncurkan	VB
senjata-senjata	NN
anti	JJ
-	Z
satelit	NN
pada	IN
11	CD
Januari	NNP
,	Z
karena	SC
satelit	NN
cuaca	NN
China	NNP
yang	SC
lama	JJ
dihancurkan	VB
oleh	IN
sebuah	NND
rudal	NN
balistik	JJ
.	Z
Perkembangan	NN
ini	PR
membangkitkan	VB
kian	RB
meluas	VB
-nya	PRP
perhatian	NN
negara-negara	NN
seperti	IN
Amerika	NNP
Serikat	NNP
,	Z
Jepang	NNP
dan	CC
Australia	NNP
,	Z
yang	SC
berpendapat	VB
bahwa	SC
tindakan	NN
demikian	PR
bisa	MD
menyebabkan	VB
perlombaan senjata	NN
di	IN
angkasa	NN
.	Z
Militer	NN
Taiwan	NNP
mendengungkan	VB
kekhawatiran-kekhawatiran	NN
seperti	IN
itu	PR
,	Z
secara	IN
mencatat	VB
bahwa	SC
hal	NN
itu	PR
membuktikan	VB
bahwa	SC
China	NNP
berusaha	VB
untuk	IN
mendominasi	VB
di	IN
bidang	NN
angkasa	NN
,	Z
guna	SC
menggenjot	VB
posisi	NN
-nya	PRP
sebagai	IN
negara	NN
adikuasa	JJ
dan	CC
meningkatkan	VB
pengaruh	NN
-nya	PRP
dalam	IN
perundingan-perundingan	NN
dengan	IN
adikuasa-adikuasa	JJ
lain	JJ
-nya	PRP
.	Z
Taiwan	NNP
tak	NEG
memiliki	VB
satelit	NN
militer	NN
dan	CC
untuk	IN
sementara	SC
tidak	NEG
akan	MD
secara	IN
langsung	RB
dipengaruhi	VB
untuk	SC
mengumpulkan	VB
analisis-analisis	NN
intelijen	NN
,	Z
kata	VB
Mayjen	NNP
Wang	NNP
Cheng	NNP
-	NNP
shio	NNP
,	Z
wakil	NN
kepala	NN
Staf	NN
Jenderal	NN
untuk	IN
Intelijen	NN
dalam	IN
satu	CD
konferensi pers	NN
.	Z
Tetapi	CC
,	Z
kami	PRP
terus	RB
mengamati	VB
dari	IN
dekat	JJ
menyusul	VB
perkembangan	NN
itu	PR
.	Z
China	NNP
menganggap	VB
Taiwan	NNP
sebagai	IN
bagian	NN
dari	IN
wilayah	NN
-nya	PRP
,	Z
meskipun	SC
hampir	RB
60	CD
tahun	NN
diperintah	VB
secara	IN
terpisah	VB
dan	CC
ancaman-ancaman	NN
tindakan	NN
militer	NN
akan	MD
dilakukan	VB
jika	SC
pulau	NN
itu	PR
menyatakan	VB
kemerdekaan	NN
secara	IN
resmi	JJ
.	Z
Senin	NNP
lalu	CC
,	Z
Surat kabar	NNP
Harian	NNP
Persatuan	NNP
,	Z
koran	NN
berbahasa	VB
China	NNP
di	IN
Taiwan	NNP
,	Z
mengutip	VB
sumber	NN
AS	NNP
yang	SC
tak	NEG
disebut	VB
nama	NN
-nya	PRP
mengatakan	VB
,	Z
bahwa	SC
pertahanan	NN
rudal	NN
Taiwan	NNP
tidak	NEG
akan	MD
efektif	JJ
menghadapi	VB
